_id,hilo,topico,total_tweets,total_retweets,total_favoritos,promedio_rt,promedio_fv,total_hashtags,emocion_hilo_1,tupla_emocion_hilo,user_total_followers,user_puntaje_sigmo,user_verificado,log_prt,log_pfv,log_total_retweets,log_total_favoritos,rnd_user_puntaje_sigmo,log_user_total_followers
ObjectId("5d34a6786b361d34247c0d5d"),259,4,17,733,1443,43,85,5,Joy,Joy+Fear,3732,0.94278,false,1.6434526764861874,1.9344984512435677,2.8656960599160706,3.1595671932336202,0.9,3.5720579899263045
ObjectId("5d34a6786b361d34247c0d5e"),87,4,8,93,322,12,40,2,Joy,Joy+Fear,7294,1.32102,false,1.1139433523068367,1.6127838567197355,1.9731278535996986,2.509202522331103,1.3,3.86302529622947
ObjectId("5d34a6786b361d34247c0d5f"),50,9,6,7691,37755,1282,6292,0,Anger,Anger+Sadness,193419,1.31921,false,3.1082266563749283,3.7988577317474856,3.8860392755664424,4.576985977417725,1.3,5.286501378953569
ObjectId("5d34a6786b361d34247c0d60"),39,4,6,167,1358,28,226,0,Joy,Joy+Fear,23229,1.25513,false,1.462397997898956,2.3560258571931225,2.225309281725863,3.1332194567324945,1.3,4.366049209800235
ObjectId("5d34a6786b361d34247c0d61"),248,6,16,883,2462,55,154,1,Fear,Fear+Anger,12670,0.92586,false,1.7481880270062005,2.1903316981702914,2.946452265013073,3.3914644118391033,0.9,4.102810890916915
ObjectId("5d34a6786b361d34247c0d62"),33,4,5,1492,2263,298,453,0,Joy,Joy+Fear,47786,1.33141,false,2.4756711883244296,2.6570558528571038,3.1740598077250253,3.354876422516234,1.3,4.679309766985715
ObjectId("5d34a6786b361d34247c0d63"),300,13,21,23422,59143,1115,2816,0,Fear,Fear+Sadness,150327,1.37184,true,3.04766419460156,3.4497868469857735,4.369642518405259,4.771910693189461,1.4,5.177039879541952
ObjectId("5d34a6786b361d34247c0d64"),69,4,7,734,969,105,138,7,Joy,Joy+Fear,54386,0.82739,false,2.0253058652647704,2.143014800254095,2.8662873390841948,2.9867717342662448,0.8,4.735495103687781
ObjectId("5d34a6786b361d34247c0d65"),131,7,10,38,63,4,6,0,Joy,Joy+Fear,9904,0.93162,false,0.6989700043360189,0.8450980400142568,1.591064607026499,1.806179973983887,0.9,3.995854479874566
ObjectId("5d34a6786b361d34247c0d66"),190,4,13,570,1992,44,153,0,Anger,Anger+Joy,12189,1.26286,false,1.6532125137753437,2.187520720836463,2.756636108245848,3.2995072987004876,1.3,4.086003705618382
ObjectId("5d34a6786b361d34247c0d67"),125,4,10,8553,28806,855,2881,0,Joy,Joy+Sadness,91238,1.18532,true,2.932473764677153,3.4596939764779706,3.932169245920792,4.459498032619692,1.2,4.960180516665309
ObjectId("5d34a6786b361d34247c0d68"),293,7,21,853,946,41,45,0,Fear,Fear+Joy,10849,0.79512,false,1.6232492903979006,1.662757831681574,2.931457870689005,2.9763499790032735,0.8,4.035429738184549
ObjectId("5d34a6786b361d34247c0d69"),196,3,13,28140,71708,2165,5516,0,Joy,Joy+Fear,15054,0.88843,false,3.3356584522893016,3.74170298395774,4.449339526174968,4.855573666198412,0.9,4.177680759848778
ObjectId("5d34a6786b361d34247c0d6a"),238,1,16,75,313,5,20,0,Joy,Joy+Fear,2610,0.8092,false,0.7781512503836436,1.3222192947339193,1.8808135922807914,2.496929648073215,0.8,3.4168068718229443
ObjectId("5d34a6786b361d34247c0d6b"),231,13,15,10409,23344,694,1556,0,Joy,Joy+Surprise,82796,1.26839,true,2.8419848045901137,3.1922886125681202,4.017450729510536,4.368193878266824,1.3,4.918014601192498
ObjectId("5d34a6786b361d34247c0d6c"),62,4,7,37130,163927,5304,23418,0,Joy,Joy+Fear,3098,0.92406,false,3.7246853882373596,4.369568346596548,4.569736645661217,5.214653140311857,0.9,3.491221576239283
ObjectId("5d34a6786b361d34247c0d6d"),258,4,17,17632,50121,1037,2948,0,Surprise,Surprise+Joy,677357,2.2602,true,3.016197353512439,3.469674772551798,4.24632620751237,4.700028392163175,2.3,5.830818264446593
